Airport,Carrier,Late_Aircraft,National_Aviation_System,Security,Weather,Total Hours Delayed
ATL,183.7050578,219.5522453,249.0018287,0.58224537,35.64693287,688.4883102
BOS,51.42340278,73.24603007,73.5765625,0.241712963,10.375,208.8627083
BWI,34.05863426,66.01577547,30.23219908,0.269409722,8.308819444,138.8850231
CLT,45.4778588,54.90081019,43.20275463,0.25193287,6.519537037,150.3529398
DCA,32.49675926,39.64997685,33.97222222,0.158726852,7.116331021,113.3940625
DEN,86.28078701,132.8265047,71.70615743,0.444548611,13.83060185,305.0886458
DFW,123.3427894,182.278044,101.2479398,0.455439815,28.18040509,435.5046181
DTW,65.11386574,71.29378472,44.54787037,0.274930556,11.30542824,192.5358797
EWR,48.65576389,88.28827549,217.5694444,0.339780093,12.78821759,367.6416203
FLL,32.223125,44.10664352,28.67483797,0.271481481,4.2765625,109.5527894
IAD,36.49782408,63.15553241,31.29931713,0.146030093,4.913680556,136.0124306
IAH,67.28725694,102.4915278,85.16984951,0.52287037,13.26905092,268.7405556
JFK,51.14642361,66.93255787,97.05651618,0.401168981,9.989386576,225.5260995
LAS,56.95538194,94.01714118,47.89341435,0.503009259,7.994884257,207.363831
LAX,92.55934028,125.9568172,68.46038194,0.710092592,11.13979167,298.8264699
LGA,45.05918981,58.26695602,131.1371297,0.14005787,13.38230324,247.9856828
MCO,54.54688658,74.82357639,39.24738426,0.396006944,6.880578703,175.8944328
MDW,25.15954861,56.23377315,26.53202547,0.305798611,8.468171299,116.6993634
MIA,39.34922453,42.86387731,27.56980324,0.236585648,5.837673611,115.8572569
MSP,62.57960648,60.04886574,45.92512731,0.334270833,10.43900463,179.3269676
ORD,138.697581,245.5333565,318.1839931,0.516331019,24.15371528,727.0851618
PDX,22.36755787,33.15915509,11.51896991,0.169224537,2.280613426,69.49552083
PHL,36.81990741,52.57771991,78.82423611,0.177777778,10.54666667,178.9464005
PHX,67.91844908,83.55460646,42.07956019,0.647858796,7.321643521,201.5221644
SAN,33.81005787,47.08888889,18.92907408,0.232939815,4.048761574,104.1097222
SEA,45.90561342,60.01265047,30.42165509,0.42900463,4.8565625,141.6254861
SFO,6.255196759,102.0442361,148.4961574,0.388194444,9.650162035,323.7783912
SLC,44.53484953,52.68074074,24.05063658,0.390277778,7.105254632,128.7617592
TPA,31.25386574,44.50622685,21.38568287,0.204837963,4.461782408,101.8125347
